_RAJ2000	_DEJ2000	GCVS	magMax	l_magMin	magMin	magCode	Period	SpType	HIP
315.5865637326	-27.0874671935	RR    Cap	 7.80	 	15.5	V	277.54	M5e-M8.5         	
302.1196074160	-09.2776531043	SS    Cap	11.90	<	16.0	P	252.60	                 	
310.1337628233	-17.0579083792	TX    Cap	10.90	<	14.5	P	129.35	M4e              	
143.0608335386	-62.7888728256	R     Car	 3.90	 	10.5	V	308.71	M4e-M8e          	 46806
152.3412250612	-61.5490107596	S     Car	 4.50	 	 9.9	V	149.49	K5e-M6e          	 49751
139.9409925546	-68.7485560843	RW    Car	 8.50	 	15.0	V	318.62	M4e-M7e          	
159.2588999861	-62.3040967478	RX    Car	12.00	<	14.0	P	332.80	MS               	
158.9032238259	-70.7174777932	RZ    Car	 8.80	<	15.0	V	272.77	M4e-M8e          	
153.4222583787	-60.8586935314	SU    Car	10.00	 	17.5	P	575.60	M5-M8e           	
141.7437715940	-73.5435153126	UU    Car	 9.90	<	12.9	P	197.68	M3e              	
160.2607026089	-59.3441564894	FU    Car	15.00	<	17.0	P	365.00	Cea              	
359.6036050956	+51.3887997757	R     Cas	 4.70	 	13.5	V	430.46	M6e-M10e         	118188
 20.0151030022	+72.5650832638	S     Cas	 7.90	 	16.1	V	612.43	S3,4e-S5,8e      	
  5.8094584062	+55.7925610108	T     Cas	 6.90	 	13.0	V	444.83	M6e-M9.0e        	  1834
 11.6553344796	+48.2619511147	U     Cas	 8.00	 	15.7	V	277.19	S3,5e-S8,6e      	
347.9196617938	+59.6997169101	V     Cas	 6.90	 	13.4	V	228.83	M5e-M8.5e        	114515
 13.7243599104	+58.5636472322	W     Cas	 7.80	 	12.5	V	405.57	C7,1e            	  4284
 29.1587565517	+59.2593548303	X     Cas	 9.45	 	13.2	V	422.84	C5,4e(N1e)       	  9057
  0.8925000316	+55.7110902824	Y     Cas	 8.70	 	15.3	V	413.48	M6e-M8.5e        	
356.1497548753	+56.6141639191	Z     Cas	 8.50	 	15.4	V	495.71	M7e              	
358.9540004289	+53.7249645662	RR    Cas	 9.50	 	14.7	V	300.07	M5e              	
 13.1763634554	+47.4151787358	RV    Cas	 7.30	 	16.1	V	331.68	M4.5e-M9.5e      	
  2.4022156009	+51.5668987758	SS    Cas	 8.80	 	13.3	V	140.57	M3e-M8e          	   781
 26.2408741360	+72.8658398021	AI    Cas	13.20	<	18.0	P	302.50	                 	
 14.9868605817	+60.7358955996	AV    Cas	13.50	<	17.8	P	322.00	M8               	
 17.8540948831	+53.7096291275	HV    Cas	12.90	 	17.2	P	527.00	C4,3-5,4e(Ne)    	
  0.6960618692	+48.6463736919	IW    Cas	11.40	<	14.7	P	396.38	S4.5,9e          	
 24.4936179800	+55.9574100079	PT    Cas	15.40	<	17.5	P	300.00	C6-,4            	
214.1429974625	-59.9136927925	R     Cen	 5.30	 	11.8	V	546.20	M4e-M8IIe        	 69754
188.3781309426	-54.6593758490	U     Cen	 7.00	 	14.0	V	220.28	M3II:e-M5IIe     	 61286
178.7555223553	-59.2537600300	W     Cen	 7.60	 	13.7	V	201.57	M3e-M8(III)e     	 58107
177.2991064808	-41.7575763871	X     Cen	 7.00	 	13.8	V	315.10	M5e-M6.5e        	 57642
170.1162083488	-61.8768909003	RS    Cen	 7.75	 	14.1	V	164.37	M1Ibe-M5(III)e   	
207.0872770855	-36.8625619592	RT    Cen	 8.10	 	13.6	V	255.02	M6II:e           	 67359
204.4002259487	-56.4764012689	RV    Cen	 7.00	 	10.8	V	446.00	N3e              	 66466
207.8560414057	-36.9438079924	RX    Cen	 8.70	<	15.0	V	327.90	M5e              	 67626
222.4885525535	-42.5229785869	RY    Cen	10.50	 	16.4	P	327.50	M5e              	
199.8984945436	-60.8303671226	TT    Cen	11.50	<	16.5	P	462.00	CSe              	
218.5051331408	-31.6945390250	TU    Cen	 9.50	 	14.5	P	293.90	M4e-M7e          	
209.4299157650	-31.0697288032	TW    Cen	 8.80	<	12.6	P	269.27	M4e-M8II:        	
175.2377211073	-57.6583783565	UV    Cen	10.10	<	13.5	P	274.30	Me               	
176.5018066620	-61.8867511839	VV    Cen	10.20	 	17.1	B	199.00	M2:e-M4e         	
186.0500087817	-35.6337772099	XZ    Cen	 7.80	 	10.7	V	290.70	M5e              	 60502
211.2496614750	-35.4973422432	AQ    Cen	 9.30	<	13.5	P	387.50	Me               	
198.2743742420	-51.1929991919	DG    Cen	12.40	 	16.4	P	185.00	Me               	
199.5088633299	-41.7159135139	V0497 Cen	10.80	<	13.5	P	335.00	Me               	
213.3471714390	-41.0210296957	V0506 Cen	14.00	<	16.3	P	257.00	                 	
214.3962299031	-37.6778464571	V0511 Cen	12.80	 	15.5	P	240.00	                 	
196.2099271930	-35.5908169062	V0603 Cen	11.10	<	13.4	P	253.00	K0               	
181.8660545592	-43.8322160161	V0650 Cen	13.00	<	15.0	P	300.00	Me               	
203.1285009746	-63.3183991712	V0702 Cen	11.90	<	16.0	P	470.00	                 	
201.5518184100	-47.4102749600	V0825 Cen	13.10	 	16.1	P	235.74	Me               	
323.8034634074	+78.6244981789	S     Cep	 7.40	 	12.9	V	486.84	C7,4e(N8e)       	106583
317.3824188650	+68.4908912279	T     Cep	 5.20	 	11.3	V	388.14	M5.5e-M8.8e      	104451
314.0320239097	+83.0586324677	X     Cep	 8.10	 	16.0	V	535.19	M4.5e:-M7e       	
  9.5838502542	+80.3568587536	Y     Cep	 8.10	 	16.0	V	332.57	M5e-M8.2e        	
 36.5652995545	+81.6801642343	Z     Cep	10.10	 	15.7	V	279.16	M2e-M8.2         	
 40.8152557712	+81.1395572564	RR    Cep	 9.00	 	15.5	V	384.18	M5e-M8.8e        	
  3.2937206081	+73.8631608029	RV    Cep	11.50	 	16.0	P	272.45	M2e-M7           	
350.3105052350	+78.9588500346	RY    Cep	 8.60	 	13.6	V	149.06	Ke-M0e           	
347.0526388075	+70.6058396566	UZ    Cep	11.30	<	15.0	P	303.50	M4-M5            	
332.8236494907	+55.3084833864	AB    Cep	12.00	 	15.5	P	324.50	M8e              	
342.3414052279	+58.5511239102	AL    Cep	10.90	 	14.5	P	277.30	M5-M6.5e         	
330.1623333428	+82.3869068821	AY    Cep	11.00	<	14.5	V	281.00	                 	
307.8977778839	+62.9844182756	BF    Cep	10.00	<	14.5	V	430.14	M7               	
320.0121688090	+77.8727623230	GH    Cep	12.50	 	15.5	P	331.00	M3               	
 36.5096590021	-00.1782784937	R     Cet	 7.20	 	14.0	V	166.24	M4e-M9           	 11350
  6.0148453101	-09.3279433217	S     Cet	 7.60	 	14.7	V	320.45	M3e-M6.5e:       	
 38.4319733949	-13.1484670461	U     Cet	 6.80	 	13.4	V	234.76	M2e-M6e          	 11910
359.4755232564	-08.9591893349	V     Cet	 8.60	 	14.8	V	257.82	M3e              	
  0.5308032482	-14.6758494883	W     Cet	 7.10	 	14.8	V	351.31	S6,3e-S9,2e      	
