RAJ2000	DEJ2000	HR	Name	HD	VarID	Vmag	B-V	SpType
#Sagittarius
101.287083	-16.716111	2491	9Alp CMa	48915	NA	-1.46	0	A1Vm
								
#Canis Minor
114.825417	5.225	2943	10Alp CMi	61421	3672	0.38	0.42	F5IV-V
111.7875	8.289444	2845	3Bet CMi	58715	Bet CMi	2.9	-0.09	B8Ve
								
#Canes Venatici
194.007083	38.318333	4915	12Alp2CVn	112413	Alp2 CVn	2.9	-0.12	A0pSiEuHg
188.435417	41.3575	4785	8Bet CVn	109358	5725	4.26	0.59	G0V
								
91.03	23.263333	2134	1    Gem	41116	Var?	4.16	0.82	G7III
93.719167	22.506667	2216	7Eta Gem	42995	Eta Gem	3.28	1.6	M3III
95.74	22.513611	2286	13Mu  Gem	44478	Mu  Gem	2.88	1.64	M3IIIab
100.982917	25.131111	2473	27Eps Gem	48329	3183	2.98	1.4	G8Ib
97.240833	20.212222	2343	18Nu  Gem	45542	NA	4.15	-0.13	B6IIIe
100.982917	25.131111	2473	27Eps Gem	48329	3183	2.98	1.4	G8Ib
107.785	30.245278	2697	46Tau Gem	54719	3437	4.41	1.26	K2-III
112.277917	31.784444	2852	62Rho Gem	58946	NA	4.18	0.32	F0V
113.65	31.888611	2890	66Alp Gem	60178	NA	2.88	0.04	A2Vm
112.277917	31.784444	2852	62Rho Gem	58946	NA	4.18	0.32	F0V
107.785	30.245278	2697	46Tau Gem	54719	3437	4.41	1.26	K2-III
103.197083	33.961111	2540	34The Gem	50019	NA	3.6	0.1	A3III
107.785	30.245278	2697	46Tau Gem	54719	3437	4.41	1.26	K2-III
111.431667	27.798056	2821	60Iot Gem	58207	NA	3.79	1.03	G9IIIbHdel -1
113.980417	26.895833	2905	69Ups Gem	60522	3652	4.06	1.54	M0III-IIIb
116.32875	28.026111	2990	78Bet Gem	62509	3712	1.14	1	K0IIIb
113.980417	26.895833	2905	69Ups Gem	60522	3652	4.06	1.54	M0III-IIIb
116.111667	24.398056	2985	77Kap Gem	62345	NA	3.57	0.93	G8IIIa
113.980417	26.895833	2905	69Ups Gem	60522	3652	4.06	1.54	M0III-IIIb
110.030833	21.982222	2777	55Del Gem	56986	NA	3.53	0.34	F2IV
106.027083	20.570278	2650	43Zet Gem	52973	Zet Gem	3.79	0.79	F7-G3Ib
99.427917	16.399167	2421	24Gam Gem	47105	NA	1.93	0	A0IV
106.027083	20.570278	2650	43Zet Gem	52973	Zet Gem	3.79	0.79	F7-G3Ib
110.030833	21.982222	2777	55Del Gem	56986	NA	3.53	0.34	F2IV
109.523333	16.540278	2763	54Lam Gem	56537	3512	3.58	0.11	A3V
101.3225	12.895556	2484	31Xi  Gem	48737	3193	3.36	0.43	F5III
								
#Grus
328.482083	-37.365	8353	Gam Gru	207971	NA	3.01	-0.12	B8III
331.52875	-39.543333	8411	Lam Gru	209688	NA	4.46	1.37	K3III
337.3175	-43.495556	8556	Del1Gru	213009	14169	3.97	1.03	G6-8III
340.667083	-46.884722	8636	Bet Gru	214952	Bet Gru	2.1	1.6	M5III
332.058333	-46.961111	8425	Alp Gru	209952	14040	1.74	-0.13	B7IV
340.667083	-46.884722	8636	Bet Gru	214952	Bet Gru	2.1	1.6	M5III
342.13875	-51.316944	8675	Eps Gru	215789	14320	3.49	0.08	A3V
345.22	-52.754167	8747	Zet Gru	217364	NA	4.12	0.98	G8-K0III
342.13875	-51.316944	8675	Eps Gru	215789	14320	3.49	0.08	A3V
347.59	-45.246667	8820	Iot Gru	218670	NA	3.9	1.02	K1III
346.72	-43.520556	8787	The Gru	218227	NA	4.28	0.42	F5mDel Del
								
#Leo
146.462917	23.774167	3873	17Eps Leo	84441	4613	2.98	0.8	G1II
148.190833	26.006944	3905	24Mu  Leo	85503	NA	3.88	1.22	K2IIICN1Ca1
154.1725	23.417222	4031	36Zet Leo	89025	4804	3.44	0.31	F0III
