RAJ2000	DEJ2000	tag
275.225	-12.76667	MW1
274.1875	-12.20889	MW1
276.25417	-13.26306	MW1
274.25	-12.20667	MW1
276.27083	-13.20306	MW1
276.39167	-13.25667	MW1
276.2625	-13.16194	MW1
274.525	-12.24028	MW1
273.6625	-11.76194	MW1
276.34583	-13.16917	MW1
276.42917	-13.17306	MW1
272.07917	-10.86083	MW1
274.46667	-12.11278	MW1
274.49167	-12.12333	MW1
276.45417	-13.10806	MW1
276.12083	-12.89556	MW1
274.48333	-12.03333	MW1
261.93333	-5.07667	MW1
274.275	-11.91528	MW1
274.125	-11.83	MW1
276.51667	-13.05889	MW1
272.8	-11.05306	MW1
276.35833	-12.85667	MW1
280.30417	-14.83944	MW1
274.64583	-11.96222	MW1
277.64583	-13.46972	MW1
274.35417	-11.76278	MW1
289.40833	-18.95333	MW1
274.77917	-11.92556	MW1
276.29583	-12.70611	MW1
274.47083	-11.74056	MW1
273.85	-11.38611	MW1
275.78333	-12.28583	MW1
276.48333	-12.65389	MW1
306.52917	-24.93167	MW1
274.10417	-11.37083	MW1
278.15833	-13.44167	MW1
274.50833	-11.555	MW1
275.88333	-12.26278	MW1
281.87917	-14.03222	MW1
255.00833	0.54194	MW1
277.725	-13.16528	MW1
276.30833	-12.45083	MW1
276.40833	-12.47722	MW1
276.625	-12.57917	MW1
278.81667	-13.665	MW1
279.37083	-13.93083	MW1
276.39167	-12.42083	MW1
276.43333	-12.43833	MW1
275.73333	-11.99444	MW1
274.36667	-11.25139	MW1
276.7	-12.44194	MW1
274.49583	-11.29167	MW1
278.70417	-13.44278	MW1
279.37083	-13.6925	MW1
270.4625	-8.95889	MW1
276.04167	-11.84333	MW1
279.025	-13.36389	MW1
277.9625	-12.81556	MW1
282.91667	-15.18	MW1
278.06667	-12.77139	MW1
276.78333	-12.02917	MW1
272.29167	-9.64278	MW1
